      time    X coord    Y coord      Theta          V          W          a      gamma
    150.00      63.67      10.41       0.37      -1.00      -0.55      -0.02      -0.04
    140.00      73.00      14.00       5.86      -0.82      -0.14       0.02      -0.02
    130.00      80.45      10.68       0.98      -1.00       0.09      -0.03       0.06
    120.00      86.00      19.00       0.07      -0.67      -0.47      -0.17      -0.02
    110.00      92.64      19.44       4.73       1.00      -0.24       0.20       0.02
    100.00      92.45      29.44       0.86      -1.00      -0.48      -0.18      -0.03
     90.00      99.00      37.00       5.65       0.78      -0.21       0.18       0.02
     80.00      92.70      41.61       1.45      -1.00      -0.44      -0.20      -0.03
     70.00      93.94      51.53       5.82       1.00      -0.16       0.12      -0.02
     60.00      85.00      56.00       1.11      -0.22       0.03      -0.01       0.05
     50.00      86.00      58.00       0.79      -0.14      -0.49      -0.04       0.01
     40.00      87.00      59.00       5.68       0.27      -0.63      -0.07       0.00
     30.00      84.80      60.52       5.65       1.00      -0.64       0.00      -0.01
     20.00      76.72      66.41       5.77       1.00      -0.58       0.00      -0.03
     10.00      68.03      71.36       5.24       1.00      -0.26       0.10      -0.03
      0.00      63.00      80.00       1.57       0.00       0.00       0.00       0.00
